accession	strain	virus	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url	genbank_accession_rev	updated	ambiguous_strain_names	notes
MW122393	PR/DB_ZIKV282/2016	zika	2016-06-24	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122393	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122393.1	2020-11-03	"PR/DB_282/2016,PR/DB_ZIKV282/2016"	
MW122394	PR/DB_ZIKV285/2016	zika	2016-07-14	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122394	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122394.1	2020-11-03	"PR/DB_ZIKV285/2016,PR/DB_285/2016"	
MW122395	PR/DB_ZIKV306/2016	zika	2016-07-23	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122395	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122395.1	2020-11-03	"PR/DB_306/2016,PR/DB_ZIKV306/2016"	
MW122396	PR/DB_ZIKV323/2016	zika	2016-08-11	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122396	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122396.1	2020-11-03	"PR/DB_ZIKV323/2016,PR/DB_323/2016"	
MW122397	PR/DB_ZIKV347/2016	zika	2016-09-27	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122397	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122397.1	2020-11-03	"PR/DB_347/2016,PR/DB_ZIKV347/2016"	
MW122398	PR/DB_ZIKV350/2016	zika	2016-09-19	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122398	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122398.1	2020-11-03	"PR/DB_350/2016,PR/DB_ZIKV350/2016"	
MW122399	PR/DB_ZIKV372/2016	zika	2016-11-04	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122399	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122399.1	2020-11-03	"PR/DB_372/2016,PR/DB_ZIKV372/2016"	
MW122452	PR/DB_ZIKV375/2017	zika	2017-01-19	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122452	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122452.1	2020-11-03	"PR/DB_ZIKV375/2017,PR/DB_375/2017"	
MW122400	PR/DB_ZIKV451/2016	zika	2016-11-10	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122400	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122400.1	2020-11-03	"PR/DB_451/2016,PR/DB_ZIKV451/2016"	
MW122401	PR/DB_ZIKV455/2016	zika	2016-09-15	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122401	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122401.1	2020-11-03	"PR/DB_ZIKV455/2016,PR/DB_455/2016"	
MW122453	PR/DB_ZIKV461/2016	zika	2016-07-27	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122453	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122453.1	2020-11-03	"PR/DB_ZIKV461/2016,PR/DB_461/2016"	
MW122402	PR/DB_ZIKV484/2016	zika	2016-07-01	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122402	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122402.1	2020-11-03	"PR/DB_ZIKV484/2016,PR/DB_484/2016"	
MW122403	PR/DB_ZIKV489/2016	zika	2016-06-30	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122403	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122403.1	2020-11-03	"PR/DB_ZIKV489/2016,PR/DB_489/2016"	
MW122404	PR/DB_ZIKV503/2016	zika	2016-08-15	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122404	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122404.1	2020-11-03	"PR/DB_503/2016,PR/DB_ZIKV503/2016"	
MW122405	PR/DB_ZIKV511/2016	zika	2016-08-19	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122405	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122405.1	2020-11-03	"PR/DB_511/2016,PR/DB_ZIKV511/2016"	
MW122406	PR/DB_ZIKV523/2016	zika	2016-08-18	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122406	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122406.1	2020-11-03	"PR/DB_ZIKV523/2016,PR/DB_523/2016"	
MW122407	PR/DB_ZIKV534/2016	zika	2016-08-31	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122407	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122407.1	2020-11-03	"PR/DB_534/2016,PR/DB_ZIKV534/2016"	
MW122408	PR/DB_ZIKV540/2016	zika	2016-09-27	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122408	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122408.1	2020-11-03	"PR/DB_ZIKV540/2016,PR/DB_540/2016"	
MW122409	PR/DB_ZIKV552/2016	zika	2016-10-20	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122409	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122409.1	2020-11-03	"PR/DB_ZIKV552/2016,PR/DB_552/2016"	
MW122410	PR/DB_ZIKV554/2016	zika	2016-10-25	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122410	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122410.1	2020-11-03	"PR/DB_554/2016,PR/DB_ZIKV554/2016"	
MW122411	PR/DB_ZIKV556/2016	zika	2016-10-16	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122411	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122411.1	2020-11-03	"PR/DB_556/2016,PR/DB_ZIKV556/2016"	
MW122412	PR/DB_ZIKV569/2016	zika	2016-11-03	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122412	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122412.1	2020-11-03	"PR/DB_ZIKV569/2016,PR/DB_569/2016"	
MW122413	PR/DB_ZIKV588/2016	zika	2016-12-11	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122413	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122413.1	2020-11-03	"PR/DB_588/2016,PR/DB_ZIKV588/2016"	
MW122414	PR/DB_ZIKV590/2016	zika	2016-08-15	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122414	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122414.1	2020-11-03	"PR/DB_ZIKV590/2016,PR/DB_590/2016"	
MW122415	PR/DB_ZIKV599/2017	zika	2017-01-20	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122415	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122415.1	2020-11-03	"PR/DB_ZIKV599/2017,PR/DB_599/2017"	
MW122416	PR/DB_ZIKV611/2016	zika	2016-06-04	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122416	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122416.1	2020-11-03	"PR/DB_ZIKV611/2016,PR/DB_611/2016"	
MW122417	PR/DB_ZIKV613/2016	zika	2016-06-13	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122417	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122417.1	2020-11-03	"PR/DB_ZIKV613/2016,PR/DB_613/2016"	
MW122418	PR/DB_ZIKV615/2016	zika	2016-05-26	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122418	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122418.1	2020-11-03	"PR/DB_615/2016,PR/DB_ZIKV615/2016"	
MW122419	PR/DB_ZIKV617/2016	zika	2016-07-09	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122419	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122419.1	2020-11-03	"PR/DB_617/2016,PR/DB_ZIKV617/2016"	
MW122420	PR/DB_ZIKV650/2016	zika	2016-08-09	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122420	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122420.1	2020-11-03	"PR/DB_ZIKV650/2016,PR/DB_650/2016"	
MW122421	PR/DB_ZIKV657/2016	zika	2016-08-17	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122421	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122421.1	2020-11-03	"PR/DB_ZIKV657/2016,PR/DB_657/2016"	
MW122422	PR/DB_ZIKV700/2016	zika	2016-09-07	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122422	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122422.1	2020-11-03	"PR/DB_700/2016,PR/DB_ZIKV700/2016"	
MW122423	PR/DB_ZIKV723/2016	zika	2016-10-06	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122423	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122423.1	2020-11-03	"PR/DB_ZIKV723/2016,PR/DB_723/2016"	
MW122424	PR/DB_ZIKV774/2016	zika	2016-12-02	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122424	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122424.1	2020-11-03	"PR/DB_774/2016,PR/DB_ZIKV774/2016"	
MW122425	PR/DB_ZIKV778/2016	zika	2016-06-29	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122425	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122425.1	2020-11-03	"PR/DB_778/2016,PR/DB_ZIKV778/2016"	
MW122426	PR/DB_ZIKV781/2016	zika	2016-07-03	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122426	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122426.1	2020-11-03	"PR/DB_781/2016,PR/DB_ZIKV781/2016"	
MW122427	PR/DB_ZIKV787/2016	zika	2016-08-23	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122427	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122427.1	2020-11-03	"PR/DB_ZIKV787/2016,PR/DB_787/2016"	
MW122428	PR/DB_ZIKV799/2016	zika	2016-09-15	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122428	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122428.1	2020-11-03	"PR/DB_ZIKV799/2016,PR/DB_799/2016"	
MW122429	PR/DB_ZIKV802/2016	zika	2016-10-02	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122429	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122429.1	2020-11-03	"PR/DB_ZIKV802/2016,PR/DB_802/2016"	
MW122430	PR/DB_ZIKV841/2016	zika	2016-11-03	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122430	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122430.1	2020-11-03	"PR/DB_841/2016,PR/DB_ZIKV841/2016"	
MW122454	PR/DB_ZIKV852/2016	zika	2016-06-27	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122454	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122454.1	2020-11-03	"PR/DB_ZIKV852/2016,PR/DB_852/2016"	
MW122431	PR/DB_ZIKV871/2016	zika	2016-11-03	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122431	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122431.1	2020-11-03	"PR/DB_871/2016,PR/DB_ZIKV871/2016"	
MW122432	PR/DB_ZIKV880/2016	zika	2016-06-28	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122432	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122432.1	2020-11-03	"PR/DB_ZIKV880/2016,PR/DB_880/2016"	
MW122433	PR/DB_ZIKV884/2016	zika	2016-07-27	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122433	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122433.1	2020-11-03	"PR/DB_ZIKV884/2016,PR/DB_884/2016"	
MW122434	PR/DB_ZIKV885/2016	zika	2016-07-19	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122434	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122434.1	2020-11-03	"PR/DB_ZIKV885/2016,PR/DB_885/2016"	
MW122435	PR/DB_ZIKV894/2016	zika	2016-08-17	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122435	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122435.1	2020-11-03	"PR/DB_ZIKV894/2016,PR/DB_894/2016"	
MW122436	PR/DB_ZIKV920/2016	zika	2016-10-09	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122436	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122436.1	2020-11-03	"PR/DB_920/2016,PR/DB_ZIKV920/2016"	
MW122437	PR/DB_ZIKV947/2016	zika	2016-10-20	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122437	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122437.1	2020-11-03	"PR/DB_947/2016,PR/DB_ZIKV947/2016"	
MW122438	PR/DB_ZIKV961/2016	zika	2016-11-21	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122438	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122438.1	2020-11-03	"PR/DB_ZIKV961/2016,PR/DB_961/2016"	
MW122439	PR/DB_ZIKV966/2016	zika	2016-11-29	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122439	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122439.1	2020-11-03	"PR/DB_ZIKV966/2016,PR/DB_966/2016"	
MW122440	PR/DB_ZIKV983/2016	zika	2016-08-03	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122440	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122440.1	2020-11-03	"PR/DB_983/2016,PR/DB_ZIKV983/2016"	
MW122441	PR/DB_ZIKV984/2016	zika	2016-08-23	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122441	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122441.1	2020-11-03	"PR/DB_984/2016,PR/DB_ZIKV984/2016"	
MW122442	PR/DB_ZIKV986/2016	zika	2016-08-26	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122442	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122442.1	2020-11-03	"PR/DB_986/2016,PR/DB_ZIKV986/2016"	
MW122443	PR/DB_ZIKV987/2016	zika	2016-08-31	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122443	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122443.1	2020-11-03	"PR/DB_ZIKV987/2016,PR/DB_987/2016"	
MW122444	PR/DB_ZIKV992/2016	zika	2016-09-10	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122444	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122444.1	2020-11-03	"PR/DB_992/2016,PR/DB_ZIKV992/2016"	
MW122445	PR/DB_ZIKV996/2016	zika	2016-12-08	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122445	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122445.1	2020-11-03	"PR/DB_ZIKV996/2016,PR/DB_996/2016"	
MW122446	PR/DB_ZIKV999/2016	zika	2016-06-20	North America	Puerto Rico	Puerto Rico	Puerto Rico	genbank	genome	Santiago et al	https://www.ncbi.nlm.nih.gov/nuccore/MW122446	Direct Submission	" Centers for Disease Control and Prevention, CDC Dengue Branch, USA, 1324 Canada St., San Juan,Submitted (15-OCT-2020) Surveillance and Research Laboratory, PR 00920"		MW122446.1	2020-11-03	"PR/DB_999/2016,PR/DB_ZIKV999/2016"	
MW008559	E3R	zika	2016-08-15	North America	Trinidad and Tobago	Trinidad	Trinidad	genbank	genome	Malogolovkin et al	https://www.ncbi.nlm.nih.gov/nuccore/MW008559	Progressive adaptation of Zika virus under polyclonal antibody selection	Unpublished		MW008559.1	2020-10-12		
MW012427	T2R	zika	2016-XX-XX	North America	Trinidad and Tobago	Trinidad	Trinidad	genbank	genome	Bartholomeeusen et al	https://www.ncbi.nlm.nih.gov/nuccore/MW012427	Direct Submission	" Antwerp 2000, Nationalestraat 155, Institute of Tropical Medicine Antwerp,Submitted (17-SEP-2020) Biomedical Sciences, Belgium"		MW012427.1	2020-10-12		
MW012428	V1R	zika	2016-XX-XX	North America	Trinidad and Tobago	Trinidad	Trinidad	genbank	genome	Bartholomeeusen et al	https://www.ncbi.nlm.nih.gov/nuccore/MW012428	Direct Submission	" Antwerp 2000, Nationalestraat 155, Institute of Tropical Medicine Antwerp,Submitted (17-SEP-2020) Biomedical Sciences, Belgium"		MW012428.1	2020-10-12		
MH544701	459148_Meta_Colombia_2016	zika	2016-01-17	South America	Colombia	Colombia	Colombia	genbank	genome	Alvarez Diaz et al	https://www.ncbi.nlm.nih.gov/nuccore/MH544701	Amplification and sequencing of the 5 'and 3' UTR ends of a Colombian Zika virus isolate	Unpublished		MH544701.2	2020-08-21		
